manufacturer,ProductCategory,Model,releaseYear,memSize,memBusWidth,gpuClock,memClock,unifiedShader,memType,Price,image-editing,vfx,3D-modeling & Rendering,AI/ML,Mining,gaming,Physics Simulations,Virtual Reality (VR) and Augmented Reality (AR),Video Encoding and Transcoding,Data Analytics and Big Data Processing
NVIDIA,GeForce GTX,1650,2020,4.0,128,1434,1543,896,GDDR6,16019.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1164,1543,1536,GDDR6,19301.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1524,1543,1536,GDDR6,19018.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1554,1793,1408,GDDR6,17977.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1660,2019,6.0,192,1554,2044,1408,GDDR5,17937.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2019,8.0,256,1494,1793,2176,GDDR6,29203.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2019,6.0,192,1389,1793,1920,GDDR6,27090.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2020,6.0,192,1389,1793,1920,GDDR6,30338.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2060,2021,12.0,192,1494,1793,2176,GDDR6,28820.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,2070,2018,8.0,256,1434,1793,2304,GDDR6,58634.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2070,2020,8.0,256,954,1418,2560,GDDR6,59629.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2070,2019,8.0,256,1629,1793,2560,GDDR6,61527.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2018,8.0,256,1539,1793,2944,GDDR6,70008.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2018,11.0,352,1374,1793,4352,GDDR6,70342.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2019,8.0,256,1674,1980,3072,GDDR6,69619.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,2080,2020,8.0,256,759,1418,3072,GDDR6,67278.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3050,2022,8.0,128,1576,1793,2560,GDDR6,27177.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3050,2022,8.0,128,1576,1793,2560,GDDR6,27262.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3050,2022,4.0,128,1569,1793,2304,GDDR6,28005.0,0,0,1,1,0,1,0,0,0,0
NVIDIA,GeForce RTX,3060,2020,8.0,256,1434,1793,4864,GDDR6,30733.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2021,12.0,192,1344,1918,3584,GDDR6,32479.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2022,8.0,256,1434,1793,4864,GDDR6,30663.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3060,2021,12.0,192,1344,1918,3584,GDDR6,33670.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3070,2021,8.0,256,1599,1231,6144,GDDR6X,76131.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3070,2020,8.0,256,1524,1793,5888,GDDR6,78099.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,16.0,256,609,1543,7424,GDDR6,95231.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,20.0,320,1359,1231,10240,GDDR6X,88961.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2022,12.0,384,1284,1231,8960,GDDR6X,92571.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2021,12.0,384,1389,1231,10240,GDDR6X,99120.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3080,2020,10.0,320,1464,1231,8704,GDDR6X,102819.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3090,2022,24.0,384,1584,1356,10752,GDDR6X,139728.0,0,1,1,1,1,1,1,1,0,1
NVIDIA,GeForce RTX,3090,2020,24.0,384,1419,1262,10496,GDDR6X,122552.0,0,1,1,1,1,1,1,1,0,1
